look.tophat	Cylinder	Haut-de-forme	Chistera
look.bowler	Melonik	Chapeau melon	Bombín
look.fez	Fez	Fez	Fez
look.boater	Kanotier	Canotier	Canotier
look.crown	Korona	Couronne	Corona
look.cone	Czapeczka imprezowa	Cône de fête	Cono de fiesta
look.handlebar	Kierownica	Guidon	Manillar
look.chevron	Szewron	Chevron	Chevron
look.pencil	Wąsik jak ołówek	Fine moustache	Bigote fino
look.walrus	Mors	Morse	Morsa
look.classic	Klasyczna	Classique	Clásica
look.dotted	W groszki	À pois	De lunares
look.big	Olbrzymia	XXL	Gigante
color.mustard	Musztarda	Moutarde	Mostaza
color.butter	Masło	Beurre	Mantequilla
color.tangerine	Mandarynka	Mandarine	Mandarina
color.rose	Róża	Rose	Rosa
color.mint	Mięta	Menthe	Menta
color.sky	Niebo	Ciel	Cielo
color.lilac	Liliowy	Lilas	Lila
color.charcoal	Grafit	Anthracite	Carbón
spectate.title	Loża	La Loge	El Palco
spectate.hint	Rzuć coś na scenę:	Lance quelque chose sur scène :	Lanza algo al escenario:
spectate.rose	Róża	Rose	Rosa
spectate.tomato	Pomidor	Tomate	Tomate
spectate.hat	Kapelusz	Chapeau	Sombrero
spectate.leave	Opuść lożę	Quitter la loge	Salir del palco
howto.head	DZIŚ WIECZOREM	CE SOIR	ESTA NOCHE
howto.title	Jak grać	Comment jouer	Cómo jugar
howto.t1	Pytanie spada na wielką tablicę.	La question tombe sur le tableau géant.	La pregunta cae en el tablero gigante.
howto.t2	Podłoga dzieli się na cztery zapadnie: A · B · C · D.	Le sol se divise en quatre trappes : A · B · C · D.	El suelo se divide en cuatro trampillas: A · B · C · D.
howto.t3	Biegnij do dobrej odpowiedzi, zanim skończy się czas.	Cours vers la bonne réponse avant la fin du temps.	Corre a la respuesta correcta antes de que se acabe el tiempo.
howto.t4	Złe zapadnie się otwierają; kto na nich stoi, spada.	Les mauvaises trappes s'ouvrent ; qui est dessus tombe.	Las trampillas equivocadas se abren; quien esté encima cae.
howto.t5	Pchaj, potrącaj, zrzucaj. Wygrywa ostatni na scenie.	Pousse, bouscule, fais-les tomber. Le dernier debout gagne.	Empuja, choca, tíralos. Gana el último en pie.
howto.c1	Akt I · Założenie. Jedno pytanie szacunkowe: najbliższy typ stawia zamek jako pierwszy. Każdy zaczyna z 1000 punktami; zamek ma 3 wieże.	Acte I · Fondation. Une question d'estimation : l'estimation la plus proche place son château en premier. Tout le monde commence à 1000 points ; un château a 3 tours.	Acto I · Fundación. Una pregunta de estimación: la más cercana coloca su castillo primero. Todos empiezan con 1000 puntos; un castillo tiene 3 torres.
howto.c2	Akt II · Podział ziemi. W pytaniach szacunkowych najbliższy typ bierze 2 regiony, drugi 1 (graniczące z twoimi). Region daje 200, region 2× daje 400.	Acte II · Partage des terres. Aux questions d'estimation, le plus proche prend 2 régions, le deuxième 1 (voisines des tiennes). Une région rapporte 200, une région 2× 400.	Acto II · Reparto de tierras. En las preguntas de estimación, el más cercano se lleva 2 regiones y el segundo 1 (limítrofes con las tuyas). Una región vale 200, una región 2× vale 400.
