title.top	TRIVIA	TRIVIA	TRIVIA
title.bottom	ARENA	ARENA	ARENA
title.tagline	Wielka Scena	La Grande Scène	El Gran Escenario
common.back	Wstecz	Retour	Atrás
common.done	Gotowe	Terminé	Listo
common.start	Kurtyna w górę!	Lever de rideau !	¡Arriba el telón!
common.soon	WKRÓTCE	BIENTÔT	PRÓXIMAMENTE
menu.trivia	Trivia Arena	Trivia Arena	Trivia Arena
menu.trivia.sub	Trzy akty: polowanie na kategorie, runda mocy, ostatni na scenie.	Trois actes : chasse aux catégories, manche de pouvoir, dernier debout.	Tres actos: caza de categorías, ronda de poder, el último en pie.
menu.settings	Ustawienia	Paramètres	Ajustes
menu.settings.sub	Dźwięk, obraz, jakość	Son, affichage, qualité	Sonido, pantalla, calidad
menu.quit	Wyjdź	Quitter	Salir
menu.quit.sub	Zasuń kurtynę	Baisser le rideau	Bajar el telón
setup.length	Długość meczu	Durée du match	Duración de la partida
setup.len.short	Krótki	Court	Corta
setup.len.normal	Normalny	Normal	Normal
setup.len.long	Długi	Long	Larga
set.tab.sound	Dźwięk	Son	Sonido
set.tab.video	Obraz	Affichage	Pantalla
set.tab.game	Rozgrywka	Jeu	Juego
set.tab.controls	Sterowanie	Commandes	Controles
set.tab.about	O grze	À propos	Acerca de
set.tab.sound.d	Muzyka, efekty i głos prowadzącego mają osobne poziomy głośności.	Musique, effets et voix du présentateur ont chacun leur volume.	La música, los efectos y la voz del presentador tienen su propio volumen.
set.tab.video.d	Tryb ekranu, jakość i liczba klatek. Niska jakość jest dla starszych komputerów.	Mode d'écran, qualité et fréquence d'images. La qualité basse est pour les anciens ordinateurs.	Modo de pantalla, calidad y fotogramas. La calidad baja es para ordenadores antiguos.
set.tab.game.d	Język, podpowiedzi i zapisane statystyki.	Langue, astuces et statistiques enregistrées.	Idioma, pistas y estadísticas guardadas.
set.tab.controls.d	Wszystkie sterowania działają jednocześnie: klawiatura, pad, telefon.	Toutes les commandes marchent en même temps : clavier, manette, téléphone.	Todos los controles funcionan a la vez: teclado, mando, móvil.
set.tab.about.d	Wersja i twórcy.	Version et crédits.	Versión y créditos.
set.master_vol	Główna	Général	General
set.master_vol.d	Ogólna głośność wszystkiego.	Volume global de tout.	Volumen general de todo.
set.music_vol	Muzyka	Musique	Música
set.music_vol.d	Orkiestra: walc w lobby, marsz wojenny, napięcie.	L'orchestre : valse du hall, marche de guerre, suspense.	La orquesta: vals del vestíbulo, marcha de guerra, tensión.
set.sfx_vol	Efekty	Effets	Efectos
set.sfx_vol.d	Skoki, bębny, walące się zamki, reakcje publiczności.	Sauts, tambours, châteaux qui s'écroulent, réactions du public.	Saltos, tambores, castillos que se derrumban, reacciones del público.
set.voice_vol	Głos prowadzącego	Voix du présentateur	Voz del presentador
set.voice_vol.d	Zapowiedzi prowadzącego. Po zmianie usłyszysz próbkę.	Les annonces du présentateur. Tu entendras un extrait en le modifiant.	Los anuncios del presentador. Oirás una muestra al cambiarlo.
set.narrator	Prowadzący	Présentateur	Presentador
set.narrator.d	Włącza lub wyłącza zapowiedzi prowadzącego.	Active ou désactive les annonces du présentateur.	Activa o desactiva los anuncios del presentador.
set.window	Ekran	Écran	Pantalla
set.window.d	Pełny ekran bez ramki najlepiej znosi Alt+Tab.	Le plein écran sans bordure est le plus fluide pour l'Alt+Tab.	La pantalla completa sin bordes es la más fluida con Alt+Tab.
set.quality	Jakość	Qualité	Calidad
set.quality.d	Niska: bez dodatków mgły i cieni, rozdzielczość 75%. Wysoka: wszystko włączone.	Basse : brouillard et ombres réduits, résolution 75 %. Haute : tout activé.	Baja: sin extras de niebla y sombras, resolución al 75 %. Alta: todo activado.
set.vsync	V-Sync	V-Sync	V-Sync
set.vsync.d	Zapobiega rozrywaniu obrazu. Gdy wyłączone, działa limit klatek.	Empêche le déchirement de l'image. Désactivé, la limite d'images s'applique.	Evita el desgarro de imagen. Si está desactivado, se aplica el límite de fotogramas.
set.fps	Limit klatek	Limite d'images	Límite de FPS
set.fps.d	Na laptopach zalecane 60 dla baterii i ciszy wentylatora.	60 est conseillé sur portable pour la batterie et le bruit du ventilateur.	En portátiles se recomienda 60 por la batería y el ruido del ventilador.
set.shake	Wstrząsy ekranu	Tremblement de l'écran	Vibración de pantalla
set.shake.d	Kamera trzęsie się, gdy padają wieże i walą się zamki.	La caméra tremble quand les tours tombent et que les châteaux s'effondrent.	La cámara tiembla cuando caen torres y se derrumban castillos.
set.grain	Ziarno filmowe	Grain de pellicule	Grano de película
set.grain.d	Faktura starego kina. Wyłącz dla czystszego obrazu.	Texture de vieux cinéma. Désactive-le pour une image plus nette.	Textura de cine antiguo. Desactívalo para una imagen más limpia.
set.lang	Język	Langue	Idioma
set.lang.d	Pytania, interfejs i prowadzący mówią w tym języku.	Les questions, l'interface et le présentateur suivent cette langue.	Las preguntas, la interfaz y el presentador usan este idioma.
set.hints	Podpowiedzi klawiszy	Aide des touches	Ayuda de teclas
set.hints.d	Pokazuje pasek klawiszy na dole lobby.	Affiche la barre des touches en bas du hall.	Muestra la barra de teclas en la parte inferior del vestíbulo.
set.reset	Statystyki	Statistiques	Estadísticas
set.reset.d	Czyści wygrane, serie i rekordy. Kostiumy i ustawienia zostają.	Efface victoires, séries et records. Costumes et réglages restent.	Borra victorias, rachas y récords. Los disfraces y ajustes se mantienen.
set.reset.btn	Resetuj	Réinitialiser	Reiniciar
set.reset.sure	Na pewno? Naciśnij ponownie	Sûr ? Appuie encore	¿Seguro? Pulsa otra vez
set.reset.done	Wyczyszczono	Effacé	Borrado
set.on	Wł.	Activé	Sí
set.off	Wył.	Désactivé	No
