# EN	PL	FR	ES   (Mayhem sıralama/ses metinleri; listede olmayan metin EN'den aynen alınır)
Oldest to newest!	Od najstarszego do najnowszego!	Du plus ancien au plus récent !	¡Del más antiguo al más reciente!
Which is the oldest?	Co jest najstarsze?	Lequel est le plus ancien ?	¿Cuál es el más antiguo?
Smallest to biggest!	Od najmniejszego do największego!	Du plus petit au plus grand !	¡Del más pequeño al más grande!
Which is the smallest?	Co jest najmniejsze?	Lequel est le plus petit ?	¿Cuál es el más pequeño?
Slowest to fastest!	Od najwolniejszego do najszybszego!	Du plus lent au plus rapide !	¡Del más lento al más rápido!
Which is the slowest?	Co jest najwolniejsze?	Lequel est le plus lent ?	¿Cuál es el más lento?
Fewest to most!	Od najmniej do najwięcej!	Du moins au plus !	¡De menos a más!
Which has the fewest?	Czego jest najmniej?	Lequel en a le moins ?	¿Cuál tiene menos?
Shortest to longest!	Od najkrótszego do najdłuższego!	Du plus court au plus long !	¡Del más corto al más largo!
Which is the shortest?	Co jest najkrótsze?	Lequel est le plus court ?	¿Cuál es el más corto?
Nearest to farthest!	Od najbliższego do najdalszego!	Du plus proche au plus lointain !	¡Del más cercano al más lejano!
Which is the nearest?	Co jest najbliżej?	Lequel est le plus proche ?	¿Cuál es el más cercano?
Lightest to heaviest!	Od najlżejszego do najcięższego!	Du plus léger au plus lourd !	¡Del más ligero al más pesado!
Which is the lightest?	Co jest najlżejsze?	Lequel est le plus léger ?	¿Cuál es el más ligero?
Coldest to hottest!	Od najzimniejszego do najgorętszego!	Du plus froid au plus chaud !	¡Del más frío al más caliente!
Which is the coldest?	Co jest najzimniejsze?	Lequel est le plus froid ?	¿Cuál es el más frío?
Quietest to loudest!	Od najcichszego do najgłośniejszego!	Du plus silencieux au plus bruyant !	¡Del más silencioso al más ruidoso!
Which is the quietest?	Co jest najcichsze?	Lequel est le plus silencieux ?	¿Cuál es el más silencioso?
The Pyramids	Piramidy	Les Pyramides	Las pirámides
The Colosseum	Koloseum	Le Colisée	El Coliseo
Eiffel Tower	Wieża Eiffla	Tour Eiffel	Torre Eiffel
2560 BC	2560 p.n.e.	2560 av. J.-C.	2560 a. C.
The wheel	Koło	La roue	La rueda
Printing press	Prasa drukarska	L'imprimerie	La imprenta
Telephone	Telefon	Le téléphone	El teléfono
The Internet	Internet	Internet	Internet
3500 BC	3500 p.n.e.	3500 av. J.-C.	3500 a. C.
End of the dinosaurs	Koniec dinozaurów	Fin des dinosaures	Fin de los dinosaurios
Last mammoths	Ostatnie mamuty	Derniers mammouths	Últimos mamuts
Founding of Rome	Założenie Rzymu	Fondation de Rome	Fundación de Roma
Moon landing	Lądowanie na Księżycu	Premier pas sur la Lune	Llegada a la Luna
66 million years ago	66 mln lat temu	Il y a 66 millions d'années	Hace 66 millones de años
2000 BC	2000 p.n.e.	2000 av. J.-C.	2000 a. C.
753 BC	753 p.n.e.	753 av. J.-C.	753 a. C.
Mona Lisa	Mona Lisa	La Joconde	La Gioconda
Don Quixote	Don Kichot	Don Quichotte	Don Quijote
First Harry Potter	Pierwszy Harry Potter	Premier Harry Potter	Primer Harry Potter
First iPhone	Pierwszy iPhone	Premier iPhone	Primer iPhone
Columbus reaches America	Kolumb w Ameryce	Colomb atteint l'Amérique	Colón llega a América
US independence	Niepodległość USA	Indépendance des États-Unis	Independencia de EE. UU.
French Revolution	Rewolucja francuska	Révolution française	Revolución francesa
World War I	I wojna światowa	Première Guerre mondiale	Primera Guerra Mundial
First film screening	Pierwszy pokaz filmowy	Première projection de cinéma	Primera proyección de cine
First talking film	Pierwszy film dźwiękowy	Premier film parlant	Primera película sonora
Colour TV broadcasts	Telewizja kolorowa	Télévision en couleur	Televisión en color
