ach.FIRST_WIN.name	Pierwsze brawa	Premiers applaudissements	Primer aplauso
ach.FIRST_WIN.desc	Wygraj mecz.	Gagne un match.	Gana una partida.
ach.TRIVIA_CHAMP.name	Ostatni na scenie	Le dernier debout	El último en pie
ach.TRIVIA_CHAMP.desc	Wygraj Trivia Arena.	Gagne Trivia Arena.	Gana Trivia Arena.
ach.CONQUEROR.name	Władca Anatolii	Maître de l'Anatolie	Señor de Anatolia
ach.CONQUEROR.desc	Wygraj mecz Conquest.	Gagne un match Conquest.	Gana una partida de Conquest.
ach.CASTLE_BREAKER.name	Burzyciel zamków	Briseur de châteaux	Rompecastillos
ach.CASTLE_BREAKER.desc	Zburz zamek rywala.	Renverse le château d'un rival.	Derriba el castillo de un rival.
ach.SPOT_ON.name	W dziesiątkę	Dans le mille	En el clavo
ach.SPOT_ON.desc	Odgadnij szacunek dokładnie.	Trouve une estimation exacte.	Acierta una estimación exacta.
ach.HEIST.name	Skok stulecia	Le Casse	El Golpe
ach.HEIST.desc	Ukradnij punkty w rundzie mocy.	Vole des points dans la manche de pouvoir.	Roba puntos en la ronda de poder.
ach.STREAK_3.name	Hat trick	Coup du chapeau	Triplete
ach.STREAK_3.desc	Wygraj trzy mecze z rzędu.	Gagne trois matchs d'affilée.	Gana tres partidas seguidas.
ach.HOUSE_PARTY.name	Impreza domowa	Soirée à la maison	Fiesta en casa
ach.HOUSE_PARTY.desc	Zagraj mecz z graczem na telefonie.	Joue un match avec un joueur sur téléphone.	Juega una partida con un jugador en el móvil.
ach.FULL_HOUSE.name	Pełna sala	Salle comble	Lleno total
ach.FULL_HOUSE.desc	Zagraj mecz ośmiu graczy.	Joue un match à huit joueurs.	Juega una partida de ocho jugadores.
ach.WARDROBE.name	Próba kostiumowa	Répétition en costume	Ensayo general
ach.WARDROBE.desc	Zmień swój wygląd.	Change ton look.	Cambia tu aspecto.
ach.MARATHON.name	Stały bywalec sceny	Habitué de la scène	Habitual del escenario
ach.MARATHON.desc	Zagraj 25 meczów.	Joue 25 matchs.	Juega 25 partidas.
ach.UNTOUCHED.name	Nietykalny	Intouchable	Intocable
ach.UNTOUCHED.desc	Wygraj Conquest bez utraty ziemi.	Gagne Conquest sans perdre de terre.	Gana Conquest sin perder tierras.
