look.rose	Róża w butonierce	Rose à la boutonnière	Rosa en el ojal
look.bell	Obroża z dzwonkiem	Collier à clochette	Collar con cascabel
look.round	Okrągłe okulary	Lunettes rondes	Gafas redondas
look.monocle	Monokl	Monocle	Monóculo
look.star	Okulary gwiazdki	Lunettes étoiles	Gafas de estrella
look.shades	Okulary przeciwsłoneczne	Lunettes de soleil	Gafas de sol
look.domino	Maska domino	Loup	Antifaz
look.eyepatch	Opaska na oko	Cache-œil	Parche en el ojo
culture.viking	Wiking	Pillard nordique	Saqueador nórdico
culture.centurion	Legionista rzymski	Légionnaire romain	Legionario romano
culture.pharaoh	Faraon	Pharaon	Faraón
culture.samurai	Samuraj	Samouraï	Samurái
culture.mariachi	Mariachi	Mariachi	Mariachi
culture.musketeer	Muszkieter	Mousquetaire	Mosquetero
culture.highlander	Góral szkocki	Highlander	Highlander
culture.janissary	Janczar	Janissaire	Jenízaro
culture.hussar	Husarz skrzydlaty	Hussard ailé	Húsar alado
culture.frontier	Zwiadowca z pogranicza	Éclaireur de la frontière	Explorador de la frontera
castle.himeji	Biała Czapla	Héron blanc	Garza Blanca
castle.pyramid	Piramida schodkowa	Pyramide à degrés	Pirámide escalonada
castle.alhambra	Alhambra	Alhambra	Alhambra
castle.fairy	Baśniowa twierdza	Donjon de conte de fées	Torreón de cuento
castle.gothic	Gotycka katedra	Cathédrale gothique	Catedral gótica
castle.steppe	Chanat stepowy	Khanat des steppes	Kanato de la estepa
result.tiles_n	{n} regionów	{n} régions	{n} regiones
result.title	Kurtyna!	Rideau !	¡Telón!
result.place	{n}.	{n}e	{n}.º
menu.mayhem	Mayhem Tour	Mayhem Tour	Mayhem Tour
menu.mayhem.sub	Każde pytanie to minigra: biegaj, łap, zgaduj, zapamiętuj. Nikt nie odpada.	Chaque question est un mini-jeu : cours, attrape, devine, retiens. Personne n'est éliminé.	Cada pregunta es un minijuego: corre, atrapa, adivina, recuerda. Nadie queda fuera.
setup.rules_m	Minigry · zdarzenia chaosu · finał ×1,5	Mini-jeux · événements chaos · finale ×1,5	Minijuegos · eventos de caos · final ×1,5
setup.len.quick	Szybka (~10 min)	Rapide (~10 min)	Rápida (~10 min)
setup.len.tour	Pełna trasa (~20 min)	Tournée complète (~20 min)	Gira completa (~20 min)
mh.meter	MIERNIK MAYHEM	JAUGE MAYHEM	MEDIDOR MAYHEM
mh.zoom_tag	ZBLIŻENIE	GROS PLAN	PRIMER PLANO
mh.chaos_kicker	· ZDARZENIE CHAOSU ·	· ÉVÉNEMENT CHAOS ·	· EVENTO DE CAOS ·
mh.joker_badge	{name} · JOKER ×2	{name} · JOKER ×2	{name} · COMODÍN ×2
mh.awards	Nagrody wieczoru	Les prix de la soirée	Los premios de la noche
mh.doors	Cztery drzwi	Quatre portes	Cuatro puertas
mh.doors.d	Biegnij do właściwej zapadni. Złe wystrzelą cię w powietrze!	Cours vers la bonne trappe. Les mauvaises t'envoient en l'air !	Corre a la trampilla correcta. ¡Las equivocadas te lanzan por los aires!
mh.doors.chip1	3 pytania	3 questions	3 preguntas
mh.doors.chip2	Szybciej = do +50	Plus vite = jusqu'à +50	Más rápido = hasta +50
mh.doors.chip3	Źle = wystrzał	Faux = éjection	Fallo = lanzamiento
mh.zoom	Panika zbliżenia	Panique au zoom	Pánico al zoom
mh.zoom.d	Coś jest pokazane o wiele za blisko i powoli się oddala. Zgadnij wcześnie, zgarnij dużo.	Un objet est montré de beaucoup trop près et dézoome lentement. Devine tôt, gagne gros.	Algo se muestra demasiado cerca y se aleja poco a poco. Adivina pronto y gana mucho.
mh.zoom.chip1	2 przedmioty	2 objets	2 objetos
mh.zoom.chip2	Wcześnie = do +100	Tôt = jusqu'à +100	Pronto = hasta +100
mh.zoom.chip3	Biegnij na zapadnię	Cours vers une trappe	Corre a una trampilla
mh.zoom.q	CO TO JEST?!	C'EST QUOI, ÇA ?!	¡¿QUÉ ES ESTO?!
mh.nearest	Najbliżej wygrywa	Le plus proche gagne	El más cercano gana
mh.nearest.d	Scena to oś liczbowa. Miejsce, w którym stoisz, to twój typ. Najbliższy wygrywa.	La scène est une droite graduée. Ta position est ton estimation. Le plus proche gagne.	El escenario es una recta numérica. Donde estás es tu estimación. Gana el más cercano.
mh.nearest.chip1	1. = 150	1er = 150	1.º = 150
mh.nearest.chip2	W dziesiątkę +50	Dans le mille +50	Diana +50
mh.nearest.chip3	Biegnij w lewo lub w prawo	Cours à gauche ou à droite	Corre a izquierda o derecha
mh.nearest.how	Stań na swoim typie!	Place-toi sur ton estimation !	¡Ponte sobre tu estimación!
mh.nearest.how_sub	Biegnij, by wybrać, albo wpisz cyfry (klawiatura/telefon) · SKOK lub Enter = zatwierdź	Cours pour choisir ou tape des chiffres (clavier/téléphone) · SAUTER ou Entrée = valider	Corre para elegir o escribe cifras (teclado/móvil) · SALTAR o Intro = fijar
mh.est.yours	twój typ	ton estimation	tu estimación
mh.est.locked	zatwierdzone	validé	fijado
mh.est.typing	wpisywanie · Enter	saisie · Entrée	escribiendo · Intro
mh.nearest.best	Najbliżej: {name} ({v})	Le plus proche : {name} ({v})	El más cercano: {name} ({v})
mh.bullseye	W DZIESIĄTKĘ!	DANS LE MILLE !	¡DIANA!
mh.order	Chaos kolejności	Chaos de l'ordre	Caos del orden
mh.order.d	Cztery rzeczy, jedna dobra kolejność. Na każdym kroku biegnij do następnej.	Quatre choses, un seul bon ordre. À chaque étape, cours vers la suivante.	Cuatro cosas, un solo orden correcto. En cada paso corre a la siguiente.
mh.order.chip1	2 zestawy	2 séries	2 series
mh.order.chip2	3 kroki	3 étapes	3 pasos
mh.order.chip3	Drzwi ✓ są zamknięte	Les portes ✓ sont fermées	Las puertas ✓ están cerradas
mh.order.next	Co jest następne?	Qu'est-ce qui vient ensuite ?	¿Qué va después?
mh.order.step	Krok {n}/{m}	Étape {n}/{m}	Paso {n}/{m}
mh.sound	Zaufaj uszom	Fie-toi à tes oreilles	Confía en tu oído
mh.sound.d	Gra melodia albo dźwięk. Znajdź jego źródło i biegnij do niego.	Un air ou un bruit retentit. Trouve sa source et cours-y.	Suena una melodía o un ruido. Encuentra su origen y corre hacia él.
mh.sound.chip1	3 dźwięki	3 sons	3 sonidos
mh.sound.chip2	Melodie i odgłosy	Airs et bruits	Melodías y ruidos
mh.sound.chip3	Podgłośnij!	Monte le son !	¡Sube el volumen!
